title,ranking,year,duration,genre,rating,directors,votes
 Darkwing Duck,"5,786.",(1991–1992),22 min,"Animation, Short, Action",7.209090909090909,"Tad Stones,Alan Zaslove,Jim Cummings,Terence McGovern,Christine Cavanaugh,S. Scott Bullock, Tad Stones,Alan Zaslove,Jim Cummings,Terence McGovern,Christine Cavanaugh,Katie Leigh, Tad Stones,Alan Zaslove,Dan Castellaneta,Christine Cavanaugh,Jim Cummings,Roddy McDowall, Tad Stones,Alan Zaslove,Jodi Carlisle,Christine Cavanaugh,Jim Cummings,Teresa Ganzel, Tad Stones,Alan Zaslove,Christine Cavanaugh,Jim Cummings,Katie Leigh,Danny Mann, Saburo Hashimoto,Kiyotaka Kantake,Yukio Okazaki,Tad Stones,Alan Zaslove,Christine Cavanaugh,Dan Castellaneta,Jim Cummings,Marty Ingels, Tad Stones,Alan Zaslove,Jodi Carlisle,Christine Cavanaugh,Cam Clarke,Jim Cummings, Tad Stones,Alan Zaslove,Jim Cummings,Terence McGovern,Hamilton Camp,Rob Paulsen, Tad Stones,Alan Zaslove,Christine Cavanaugh,Jim Cummings,Tim Curry,Eddie Deezen, Tad Stones,Alan Zaslove,Jim Cummings,Terence McGovern,Christine Cavanaugh,Charlie Adler, Tad Stones,Alan Zaslove,Jim Cummings,Terence McGovern,Christine Cavanaugh,Dan Castellaneta, Tad Stones,Alan Zaslove,Dan Castellaneta,Christine Cavanaugh,Jim Cummings,Teresa Ganzel, Tad Stones,Alan Zaslove,Jim Cummings,Terence McGovern,Jodi Carlisle,Michael Gough, Tad Stones,Alan Zaslove,Michael Bell,Christine Cavanaugh,Jim Cummings,Linda Gary, Tad Stones,Alan Zaslove,William Callaway,Jim Cummings,Dorian Harewood,Ron Palillo, Tad Stones,Alan Zaslove,Ruth Buzzi,Christine Cavanaugh,Jim Cummings,Katie Leigh, Tad Stones,Alan Zaslove,Dan Castellaneta,Christine Cavanaugh,Jesse Corti,Jim Cummings, Tad Stones,Alan Zaslove,Valri Bromfield,Dan Castellaneta,Christine Cavanaugh,Jim Cummings",3468.0
 Dead at 21,"5,814.",(1994),Desconhecido,,6.0,"Ralph Hemecker,Robert Jason,Jack Noseworthy,Lisa Dean Ryan,Whip Hubley,Adam Scott",8.0
 Deadly Games,"5,817.",(1995–1996),Desconhecido,"Action, Comedy, Sci-Fi",6.077777777777778,,74.0
 Defenders of the Earth,"5,829.",(1986–1991),21 min,"Animation, Action, Adventure",7.2,"John Gibbs,Ray Lee,William Callaway,Adam Carl,Ron Feinberg,Buster Jones",17.0
 Delta Team - Auftrag geheim!,"5,855.",(1999– ),47 min,Action,,,0.0
 Dempsey and Makepeace,"5,865.",(1985–1986),46 min,"Action, Crime, Drama",7.5566666666666675,"Francis Megahy,Roger Tucker,Michael Brandon,Glynis Barber,Ray Smith,Tony Osoba",1528.0
 Dennou Keisatsu Cybercop,"5,896.",(1988–1989),Desconhecido,,,,0.0
 Denshi Sentai Denziman,"5,897.",(1980–1981),Desconhecido,,,,0.0
 Department S,"5,916.",(1969–1970),Desconhecido,"Action, Adventure, Crime",7.48148148148148,,1341.0
 Der Clown,"4,931.",(1998–2001),46 min,"Action, Comedy, Crime",7.287804878048781,,410.0
 Der Puma - Kämpfer mit Herz,162.,(1999–2000),90 min,Action,5.1,,118.0
 Devil Hunter Yohko,82.,(1990– ),Desconhecido,,6.633333333333333,,186.0
 Devlin,"6,027.",(1974–1976),22 min,"Animation, Action, Adventure",,,0.0
 Dick Turpin,"6,028.",(1979–1982),25 min,"Action, Adventure, Biography",7.164516129032257,"James Allen,Charles Crichton,Richard O'Sullivan,Michael Deeks,John Junkin,Michael Robbins",439.0
 Die Feuerengel,"7,360.",(1997– ),Desconhecido,,,,0.0
 Die Gang,"7,690.",(1997– ),Desconhecido,,,,0.0
 Die Motorrad-Cops: Hart am Limit,176.,(2000–2001),90 min,"Crime, Action",5.0,,31.0
 Digimon Adventure,"5,846.",(1999–2000),24 min,"Animation, Action, Adventure",7.655555555555556,,467.0
 Digimon Adventure 02,"5,837.",(2000–2001),Desconhecido,,7.588888888888889,,272.0
 Digimon Frontier,"6,059.",(2002–2003),22 min,"Animation, Action, Adventure",5.3999999999999995,,62.0
 Digimon Tamers,"5,830.",(2001–2002),25 min,"Animation, Action, Adventure",7.542857142857143,,268.0
